X,Stop_name,Stop_ID,long,lat,X19_01,X19_02,X19_03,X19_04,X19_05,X19_06,X19_07,X19_08,X19_09,X19_10,X19_11,X19_12,X21_01,X21_03,X21_04,X21_05,X21_06,X21_07,X21_09,X21_10,X21_11,X21_12,X22_01,X22_02,X22_03,X22_04,X22_05,X22_06,X22_07,X22_08,X22_09,X22_10,X22_11,X22_12,X23_01,X23_02,X23_03,X23_04,X23_05,X23_06,X23_07,X23_08,X23_09,X23_10,X23_11,X23_12,X24_01,X24_02,X24_03,PR2021_01,PR2021_03,PR2021_04,PR2021_05,PR2021_06,PR2021_07,PR2021_09,PR2021_10,PR2021_11,PR2021_12,PR2022_01,PR2022_02,PR2022_03,PR2022_04,PR2022_05,PR2022_06,PR2022_07,PR2022_08,PR2022_09,PR2022_10,PR2022_11,PR2022_12,PR2023_01,PR2023_02,PR2023_03,PR2023_04,PR2023_05,PR2023_06,PR2023_07,PR2023_08,PR2023_09,PR2023_10,PR2023_11,PR2023_12,PR2024_01,PR2024_02,PR2024_03,BR2021_01,BR2021_03,BR2021_04,BR2021_05,BR2021_06,BR2021_07,BR2021_09,BR2021_10,BR2021_11,BR2021_12,BR2022_01,BR2022_02,BR2022_03,BR2022_04,BR2022_05,BR2022_06,BR2022_07,BR2022_08,BR2022_09,BR2022_10,BR2022_11,BR2022_12,BR2023_01,BR2023_02,BR2023_03,BR2023_04,BR2023_05,BR2023_06,BR2023_07,BR2023_08,BR2023_09,BR2023_10,BR2023_11,BR2023_12,BR2024_01,BR2024_02,BR2024_03
1,ELLIOTT ROAD AT PLAZA THEATR,0,-79.02702,35.93493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,S Columbia St at Health Sciences Library,33,-79.053468,35.905412,27,25,26,27,23,21,20,22,28,26,24,20,3,3,3,5,4,6,6,6,9,6,7,6,6,8,7,7,7,8,7,7,8,6,10,14,11,8,10,9,8,9,17,23,14,10,12,13,12,11,12,11,22,19,30,21,23,38,30,26,24,23,30,30,33,35,36,25,27,33,30,37,56,42,30,43,43,40,41,61,88,58,50,44,52,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,S Columbia St at Carrington Hall,34,-79.05278,35.906941,10,13,12,9,7,8,8,8,10,10,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,S Columbia St at ROTC,35,-79.053256,35.909279,12,12,12,12,10,12,11,10,11,11,9,5,1,1,2,2,4,7,3,2,2,1,2,1,2,3,2,2,2,5,3,5,3,2,4,5,4,4,4,2,2,5,5,5,5,3,4,4,3,8,8,17,20,33,64,27,18,22,20,17,8,17,25,20,17,18,50,27,45,33,40,33,42,33,33,40,17,18,50,45,45,56,60,33,33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,N Columbia St at Rosemary St,37,-79.05604,35.913749,17,13,16,13,12,11,11,9,14,14,12,12,9,9,10,13,11,11,14,11,11,14,7,8,10,13,11,12,13,13,10,10,7,6,10,13,13,9,8,7,8,10,10,10,8,7,8,7,7,53,56,77,108,100,100,100,79,92,117,41,62,62,100,92,109,118,144,71,71,58,50,59,100,81,69,67,64,73,111,71,71,67,58,47,54,44,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6,Pittsboro St at Newman Ctr,111,-79.05481,35.908909,1,1,3,3,2,3,2,0,2,2,2,2,1,1,1,2,2,1,3,1,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,100,33,33,100,67,50,150,50,100,50,100,100,33,67,50,67,100,100,100,100,100,50,200,200,67,67,50,67,100,100,100,100,100,100,200,200,67,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0
7,Pittsboro St at Credit Union,112,-79.05487,35.906889,38,38,36,35,30,30,34,37,38,39,35,27,1,3,3,5,3,4,7,7,8,5,4,7,7,6,7,8,9,9,7,7,9,4,8,9,8,8,9,10,8,8,10,11,10,6,9,10,10,3,8,9,17,10,12,18,18,23,19,11,18,19,17,23,27,26,24,18,18,26,15,21,24,22,23,30,33,24,22,26,28,29,22,24,26,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Pittsboro St at University Dr,113,-79.05514,35.905279,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,3,3,4,0,1,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,200,100,100,100,0,100,0,100,0,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Mason Farm Rd at Ambulatory Care Center,201,-79.055952,35.90205,21,20,16,16,18,13,13,15,17,14,13,11,2,3,3,4,5,4,4,5,4,3,5,3,3,4,4,3,3,5,4,4,4,4,4,4,4,4,3,4,5,4,5,4,4,4,4,5,6,10,19,19,22,38,31,24,36,31,27,24,15,19,25,22,23,23,33,24,29,31,36,19,20,25,25,17,31,38,27,29,29,31,36,19,25,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Mason Farm Rd at Odum Village,924,-79.05228,35.90156,17,14,14,13,12,16,18,14,16,17,18,17,5,4,5,8,5,7,10,6,8,7,4,1,0,1,0,2,0,2,1,0,1,1,0,1,1,1,0,0,0,0,2,1,1,0,0,1,1,29,29,38,67,31,39,62,35,44,41,24,7,0,8,0,12,0,14,6,0,6,6,0,7,7,8,0,0,0,0,12,6,6,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
